name,address,url,dates,opening_hours
28. Weihnachtsmarkt auf Lehmanns Bauernhof in Berlin,Lehmanns Bauernhof Alt-Marienfelde 35-37 12277 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachtsmarkt-auf-lehmanns-bauernhof-berlin-1511.html,08.12.2023 - 17.12.2023,"[('FR', '14:00 - 20:00 Uhr'), ('SA', '12:00 - 20:00 Uhr'), ('SO', '12:00 - 20:00 Uhr')]"
Winterwelt Potsdamer Platz Berlin,Potsdamer Platz 10117 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/winterwelt-potsdamer-platz-berlin-1513.html,27.10.2023 - 01.01.2024,"[('MO', '10:00 - 22:00 Uhr'), ('DI', '10:00 - 22:00 Uhr'), ('MI', '10:00 - 22:00 Uhr'), ('DO', '10:00 - 22:00 Uhr'), ('FR', '10:00 - 22:00 Uhr'), ('SA', '10:00 - 22:00 Uhr'), ('SO', '10:00 - 22:00 Uhr')]"
Veganer Weihnachtsmarkt Berlin,Winterfeldtplatz Winterfeldtstraße 10781 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/veganer-weihnachtsmarkt-berlin-2667.html,03.12.2023 - 24.12.2023,"[('SO', '12:00 - 20:00 Uhr')]"
Vegan-vegetarischer Weihnachtsmarkt The Green Market Berlin,Alte Münze Am Molkenmarkt 2 10179 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/vegan-vegetarischer-weihnachtsmarkt-the-green-market-berlin-2668.html,16.12.2023 - 17.12.2023,"[('SA', '12:00 - 22:00 Uhr'), ('SO', '12:00 - 22:00 Uhr')]"
Weihnachts-Basar im Lichthof des Auswärtigen Amtes in Berlin,Lichthof des Auswärtigen Amts Werderschen Markt 1 10117 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachts-basar-lichthof-auswaertiges-amt-berlin-3367.html,08.12.2023 - 09.12.2023,"[('FR', '15:00 - 18:00 Uhr'), ('SA', '12:00 - 18:00 Uhr')]"
Adventsbasar der Albert Schweitzer Stiftung – Wohnen & Betreuen in Berlin,Stiftungsgelände der Albert Schweitzer Stiftung – Wohnen & Betreuen Bahnhofstraße 32 13129 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/adventsbasar-albert-schweitzer-stiftung-wohnen-betreuen-berlin-3379.html,02.12.2023 - 02.12.2023,"[('SA', '15:00 - 18:00 Uhr')]"
Adventsmarkt der Freie evangelische Gemeinde in Berlin-Adlershof,Rund um die Schwedenkirche Handjerystr. 29/31 12489 Berlin,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/adventsmarkt-freie-evangelische-gemeinde-berlin-adlershof-3387.html,02.12.2023 - 02.12.2023,"[('SA', '15:00 - 19:00 Uhr')]"
Altglienicker Adventsmarkt in Berlin,Rund um das Evangelische Gemeindezentrum Rosestraße 42 12524 Berlin - Altglienicke,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/altglienicker-adventsmarkt-berlin-3266.html,10.12.2023 - 10.12.2023,"[('SO', '14:00 - 19:00 Uhr')]"
Kunstadvent in Berlin-Friedrichshagen,Historisches Rathaus Friedrichshagen Bölschestr. 87/88 12587 Berlin - Friedrichshagen,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/kunstadvent-berlin-friedrichshagen-3226.html,09.12.2023 - 10.12.2023,"[('SA', '13:00 - 18:00 Uhr'), ('SO', '13:00 - 18:00 Uhr')]"
Historischer Weihnachtsmarkt in Berlin,RAW-Gelände Revaler Straße 99 10245 Berlin - Friedrichshain,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/historischer-weihnachtsmarkt-berlin-2781.html,16.11.2023 - 22.12.2023,"[('MO', '15:00 - 22:00 Uhr'), ('DI', '15:00 - 22:00 Uhr'), ('MI', '15:00 - 22:00 Uhr'), ('DO', '15:00 - 22:00 Uhr'), ('FR', '15:00 - 22:00 Uhr'), ('SA', '12:00 - 22:00 Uhr'), ('SO', '12:00 - 22:00 Uhr')]"
Weihnachtsmarkt Köpenick ,Schlossplatz Schlossinsel 12555 Berlin - Köpenick,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachtsmarkt-koepenick-1503.html,15.12.2023 - 17.12.2023,"[('FR', '14:00 - 22:00 Uhr'), ('SA', '12:00 - 22:00 Uhr'), ('SO', '12:00 - 20:00 Uhr')]"
Winterzauber Weihnachtsmarkt im Strandbad Wendenschloss in Berlin-Köpenick,Strandbad Wendenschloss Möllhausenufer 30 12557 Berlin - Köpenick,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/winterzauber-weihnachtsmarkt-strandbad-wendenschloss-berlin-koepenick-3249.html,01.12.2023 - 26.12.2023,"[('SA', '12:00 - 18:00 Uhr'), ('SO', '12:00 - 18:00 Uhr')]"
Hüttenzauber & Märchenwald Köpenick in Berlin,Terrasse des Auflugslokal Mutter Lustig Müggelheimer Str. 1 12555 Berlin - Köpenick,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/huettenzauber-maerchenwald-koepenick-berlin-3413.html,15.12.2023 - 17.12.2023,"[('FR', '16:00 - 22:00 Uhr'), ('SA', '12:00 - 22:00 Uhr'), ('SO', '12:00 - 22:00 Uhr')]"
Alt-Rixdorfer Weihnachtsmarkt,Richardplatz 12043 Berlin - Neukölln,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/alt-rixdorfer-weihnachtsmarkt-1475.html,08.12.2023 - 10.12.2023,"[('FR', '17:00 - 21:00 Uhr'), ('SA', '14:00 - 21:00 Uhr'), ('SO', '14:00 - 20:00 Uhr')]"
Kladower Christkindlmarktes,Imchenplatz  14089 Berlin - Spandau,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/kladower-christkindlmarktes-2807.html,09.12.2023 - 10.12.2023,"[('SA', '12:00 - 19:00 Uhr'), ('SO', '12:00 - 19:00 Uhr')]"
Weihnachten in Westend in Berlin,Preußenallee 14052 Berlin Charlottenburg-Wilmersdorf,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/weihnachten-westend-2808.html,16.12.2023 - 17.12.2023,"[('SA', '11:00 - 21:00 Uhr'), ('SO', '12:00 - 20:00 Uhr')]"
Rudower Adventsmeile,Krokusstraße 12357 Berlin Neukölln,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/rudower-adventsmeile-2809.html,16.12.2023 - 17.12.2023,"[('SA', '12:00 - 22:00 Uhr'), ('SO', '11:00 - 20:00 Uhr')]"
Christmas Avenue Berlin,Nollendorfplatz 10777 Berlin Schöneberg,https://www.deutsche-weihnachtsmaerkte.de/weihnachtsmarkt/in/berlin/christmas-avenue-berlin-3001.html,27.11.2023 - 22.12.2023,"[('MO', '16:00 - 22:00 Uhr'), ('DI', '16:00 - 22:00 Uhr'), ('MI', '16:00 - 22:00 Uhr'), ('DO', '16:00 - 22:00 Uhr'), ('FR', '15:00 - 22:00 Uhr'), ('SA', '15:00 - 22:00 Uhr'), ('SO', '15:00 - 22:00 Uhr')]"
